HSHD_NUM,total_spend,transaction_count,avg_spend_per_txn,avg_txns_per_month,customer_lifetime_months,CLV
10,9454.91,1655,5.712936555891239,137.91666666666666,12,9454.91
29,19.950000000000003,6,3.3250000000000006,0.5,12,19.95
53,5990.32,2009,2.9817421602787455,167.41666666666666,12,5990.32
54,8046.610000000001,2231,3.6067279246974455,185.91666666666666,12,8046.61
60,30628.33,8520,3.59487441314554,710.0,12,30628.33
81,39.82,9,4.424444444444444,0.75,12,39.82
92,29.07,8,3.63375,0.6666666666666666,12,29.07
99,15817.29,4275,3.6999508771929825,356.25,12,15817.29
115,100.26,37,2.70972972972973,3.0833333333333335,12,100.26
117,18741.34,3692,5.076202600216685,307.6666666666667,12,18741.34
136,13855.82,2318,5.9774892148403795,193.16666666666666,12,13855.82
139,668.88,170,3.9345882352941177,14.166666666666666,12,668.88
151,8642.15,2159,4.0028485409912,179.91666666666666,12,8642.15
159,9985.33,2685,3.7189310986964617,223.75,12,9985.33
160,2954.82,669,4.41677130044843,55.75,12,2954.82
172,5569.53,1719,3.239982547993019,143.25,12,5569.53
183,19960.62,4563,4.374451019066403,380.25,12,19960.62
184,6129.88,1960,3.1274897959183674,163.33333333333334,12,6129.88
185,28.93,9,3.214444444444444,0.75,12,28.93
186,188.1,61,3.083606557377049,5.083333333333333,12,188.1
196,5798.41,1179,4.918074639525021,98.25,12,5798.41
210,14733.29,3796,3.8812671232876714,316.3333333333333,12,14733.29
225,44.660000000000004,11,4.0600000000000005,0.9166666666666666,12,44.66
242,7042.4400000000005,1310,5.375908396946565,109.16666666666667,12,7042.44
264,54.55,15,3.6366666666666663,1.25,12,54.55
308,15136.17,6396,2.3665056285178236,533.0,12,15136.17
361,7792.61,1953,3.9900716845878135,162.75,12,7792.61
401,13577.08,4666,2.9097899699957135,388.8333333333333,12,13577.08
422,4858.63,1576,3.0828870558375634,131.33333333333334,12,4858.63
428,8725.39,2274,3.8370228671943707,189.5,12,8725.39
438,35807.22,6464,5.5394832920792085,538.6666666666666,12,35807.22
453,12767.67,2575,4.958318446601941,214.58333333333334,12,12767.67
455,2.49,1,2.49,0.08333333333333333,12,2.49
459,5910.34,1525,3.875632786885246,127.08333333333333,12,5910.34
482,3705.17,1300,2.8501307692307694,108.33333333333333,12,3705.17
514,18528.51,4233,4.377158043940468,352.75,12,18528.51
525,5520.34,1659,3.327510548523207,138.25,12,5520.34
554,5329.17,1660,3.210343373493976,138.33333333333334,12,5329.17
575,3614.07,1136,3.181399647887324,94.66666666666667,12,3614.07
577,6761.68,1759,3.8440477544059126,146.58333333333334,12,6761.68
590,9782.52,2771,3.5303211836881996,230.91666666666666,12,9782.52
594,2673.9700000000003,661,4.0453403933434195,55.083333333333336,12,2673.97
605,4684.36,1765,2.654028328611898,147.08333333333334,12,4684.36
